Map,BFS Total Cost,BFS Expanded,BFS Actions,WA* Total Cost (Weight 0.1),WA* Expanded,WA* Actions,WA* Total Cost (Weight 0.3),WA* Expanded,WA* Actions,WA* Total Cost (Weight 0.5),WA* Expanded,WA* Actions,WA* Total Cost (Weight 0.7),WA* Expanded,WA* Actions,WA* Total Cost (Weight 0.9),WA* Expanded,WA* Actions,A*E Total Cost (Epsilon 0.1),A*E Expanded,A*E Actions,A*E Total Cost (Epsilon 0.3),A*E Expanded,A*E Actions,A*E Total Cost (Epsilon 0.5),A*E Expanded,A*E Actions,A*E Total Cost (Epsilon 0.7),A*E Expanded,A*E Actions,A*E Total Cost (Epsilon 0.9),A*E Expanded,A*E Actions
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
map12x12,140,445,"[0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 2, 2, 1, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1]",118,246,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 2, 2, 1, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0]",118,235,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 2, 2, 1, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0]",118,224,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 2, 2, 1, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0]",118,200,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 2, 2, 1, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0]",118,240,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 2, 2, 1, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0]",118,253,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 2, 2, 1, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0]",118,257,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 2, 2, 1, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0]",118,257,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 2, 2, 1, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0]",118,257,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 2, 2, 1, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0]",118,257,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 2, 2, 1, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0]"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
map15x15,215,858,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 3, 1, 1, 1, 1, 2, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 3, 3, 3, 3, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1]",178,669,"[0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 3, 3, 3, 3, 0, 3, 0, 3, 0, 3, 3, 3, 0, 0, 3, 1, 2, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0]",178,665,"[0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 3, 3, 3, 3, 0, 3, 0, 3, 0, 3, 3, 3, 0, 0, 3, 1, 2, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0]",178,651,"[0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 3, 3, 3, 3, 0, 3, 0, 3, 0, 3, 3, 3, 0, 0, 3, 1, 2, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0]",178,604,"[0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 3, 3, 3, 3, 0, 3, 0, 3, 0, 3, 3, 3, 0, 0, 3, 1, 2, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0]",195,707,"[0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 3, 3, 3, 3, 0, 3, 0, 3, 0, 3, 3, 3, 0, 0, 3, 1, 1, 0, 1, 1, 1, 1, 2, 2, 1, 1, 1, 0, 0, 1, 0]",178,666,"[0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 3, 3, 3, 3, 0, 3, 0, 3, 0, 3, 3, 3, 0, 0, 3, 1, 2, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0]",178,673,"[0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 3, 3, 3, 3, 0, 3, 0, 3, 0, 3, 3, 3, 0, 0, 3, 1, 2, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0]",178,673,"[0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 3, 3, 3, 3, 0, 3, 0, 3, 0, 3, 3, 3, 0, 0, 3, 1, 2, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0]",178,673,"[0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 3, 3, 3, 3, 0, 3, 0, 3, 0, 3, 3, 3, 0, 0, 3, 1, 2, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0]",178,673,"[0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 3, 3, 3, 3, 0, 3, 0, 3, 0, 3, 3, 3, 0, 0, 3, 1, 2, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0]"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
map20x20,203,1045,"[1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 2, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 3, 3, 0, 0, 1, 1, 0, 0, 0, 0, 1]",188,818,"[1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 3, 3, 1, 0, 0, 1, 0, 0, 1, 0, 0]",188,765,"[1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 3, 3, 1, 0, 0, 1, 0, 0, 1, 0, 0]",188,684,"[1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 3, 3, 1, 0, 0, 1, 0, 0, 1, 0, 0]",188,587,"[1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 3, 3, 1, 0, 0, 1, 0, 0, 1, 0, 0]",188,1002,"[1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 3, 3, 1, 0, 0, 1, 0, 0, 1, 0, 0]",188,823,"[1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 3, 3, 1, 0, 0, 1, 0, 0, 1, 0, 0]",188,838,"[1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 3, 3, 1, 0, 0, 1, 0, 0, 1, 0, 0]",188,838,"[1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 3, 3, 1, 0, 0, 1, 0, 0, 1, 0, 0]",188,838,"[1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 3, 3, 1, 0, 0, 1, 0, 0, 1, 0, 0]",188,838,"[1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 3, 3, 1, 0, 0, 1, 0, 0, 1, 0, 0]"
